word,x,y
thursday,-0.3571594337433279,-0.30971144160692066
boston,-0.8523356430063321,-0.018634828464774544
detroit,-0.102244471703743,-0.04947561770456835
baltimore,-0.2860458177237012,0.109472503900156
albany,-0.4748864502867752,0.022425897035881437
cleveland,-0.05486854755826674,0.019939547581903277
florida,-0.35981168981865197,0.06710705928237129
michigan,-0.27861950071279384,0.07056844773790952
minnesota,-0.2920465470941219,0.15098478939157567
idaho,-0.13198289294831414,0.11834535881435258
vermont,-0.3788747803600438,0.02015893135725429
maine,-0.6176109803401518,0.009311622464898596
iowa,-0.4128236581241919,0.1387236739469579
wyoming,-0.4301296290156814,0.27359594383775354
